esmini GIT REV: 41f5f08
esmini GIT TAG: 
esmini GIT BRANCH: master
esmini BUILD VERSION: N/A - client build
Scenario File Name: ./resources/esmini-sim/./dcase.xosc
Number of Vehicles: 2
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entitity_Name [-] , #2 Entitity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 bb_x [m] , #2 bb_y [m] , #2 bb_z [m] , #2 bb_length [m] , #2 bb_width [m] , #2 bb_height [m] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 lane_id, #2 lane_offset [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , 
0, 0.000000, Ego, 0, 16.000000, 0.000000, 0.000000, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 32.000000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 32.000000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
1, 0.050000, Ego, 0, 16.000000, 0.000000, 2.285714, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 32.800000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 32.800000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
2, 0.100000, Ego, 0, 16.000000, 0.000000, 4.571429, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 33.600000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 33.600000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
3, 0.150000, Ego, 0, 16.000000, 0.000000, 0.573958, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 34.400000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 34.400000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
4, 0.200000, Ego, 0, 16.000000, 0.000000, 2.859672, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 35.200000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 35.200000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
5, 0.250000, Ego, 0, 16.000000, 0.000000, 5.145386, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 36.000000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 36.000000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
6, 0.300000, Ego, 0, 16.000000, 0.000000, 1.147915, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 36.800000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 36.800000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
7, 0.350000, Ego, 0, 16.000000, 0.000000, 3.433629, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 37.600000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 37.600000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
8, 0.400000, Ego, 0, 16.000000, 0.000000, 5.719344, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 38.400000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 38.400000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
9, 0.450000, Ego, 0, 16.000000, 0.000000, 1.721873, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 39.200000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 39.200000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
